ticker,name,slug,sector,industry,market_cap_bil_usd,revenue_bil_usd,employees,cik,sec_search_url,company_url,market_cap_as_of,market_cap_source_url
A,Agilent Technologies Inc,a,Healthcare,Diagnostics & Research,32,7,18100,1090872,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1090872&type=10-k&owner=exclude&count=40,https://www.agilent.com,2026-05-13,https://stockanalysis.com/stocks/a/statistics/
AAPL,Apple Inc,aapl,Technology,Consumer Electronics,4360,451,166000,320193,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=320193&type=10-k&owner=exclude&count=40,https://www.apple.com,2026-05-13,https://stockanalysis.com/stocks/aapl/statistics/
ABBV,AbbVie Inc,abbv,Healthcare,Drug Manufacturers - General,365,63,57000,1551152,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1551152&type=10-k&owner=exclude&count=40,https://www.abbvie.com,2026-05-13,https://stockanalysis.com/stocks/abbv/statistics/
ABNB,Airbnb Inc,abnb,Consumer Cyclical,Travel Services,80,13,8200,1559720,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1559720&type=10-k&owner=exclude&count=40,https://www.airbnb.com,2026-05-13,https://stockanalysis.com/stocks/abnb/statistics/
ABT,Abbott Laboratories,abt,Healthcare,Medical Devices,145,45,115000,1800,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1800&type=10-k&owner=exclude&count=40,https://www.abbott.com,2026-05-13,https://stockanalysis.com/stocks/abt/statistics/
ACGL,Arch Capital Group Ltd,acgl,Financial Services,Insurance - Diversified,32,20,8000,947484,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=947484&type=10-k&owner=exclude&count=40,https://www.archgroup.com,2026-05-13,https://stockanalysis.com/stocks/acgl/statistics/
ACN,Accenture plc,acn,Technology,Information Technology Services,98,72,779000,1467373,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1467373&type=10-k&owner=exclude&count=40,https://www.accenture.com,2026-05-13,https://stockanalysis.com/stocks/acn/statistics/
ADBE,Adobe Systems Incorporated,adbe,Technology,Software - Application,95,24,31360,796343,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=796343&type=10-k&owner=exclude&count=40,https://www.adobe.com,2026-05-13,https://stockanalysis.com/stocks/adbe/statistics/
ADI,Analog Devices Inc,adi,Technology,Semiconductors,211,12,24500,6281,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=6281&type=10-k&owner=exclude&count=40,https://www.analog.com,2026-05-13,https://stockanalysis.com/stocks/adi/statistics/
ADM,Archer-Daniels-Midland Company,adm,Consumer Defensive,Farm Products,40,81,41496,7084,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=7084&type=10-k&owner=exclude&count=40,https://www.adm.com,2026-05-13,https://stockanalysis.com/stocks/adm/statistics/
